Day	Environment	Os	Campaign ID	Campaign Optimization	Campaign Type	Context IDs Eligible	Number of displays	Number of clicks	Criteo Revenue	Criteo Cost
2019-10-18	web	Windows	181694	Install Optimization	APP INSTALL	2-10	2	0	0.00013088999688625337	1.8289894424293704e-05
2019-11-22	app	iOS	181694	Install Optimization	APP INSTALL	2-10	0	0	0.0	0.0
2019-10-26	web	Other	181694	Install Optimization	APP INSTALL	2-10	1	0	0.0009428939819335938	0.0005267489485180319
2019-12-16	app	iOS	196140	Visit Optimization	INAPP	2-10	112583	532	55.77707681022026	34.39583143265791
2019-12-15	app	iOS	196140	Visit Optimization	INAPP	2-10	113502	512	56.57144625217002	34.72657524304601
2019-12-22	app	iOS	196140	Visit Optimization	INAPP	2-10	54995	311	22.51729249370285	13.97067774599752
2019-10-21	app	iOS	196140	Visit Optimization	INAPP	2-10	42751	190	15.420281391978262	4.65387526051276
2019-10-07	web	iOS	181694	Install Optimization	APP INSTALL	2-10	5333	52	3.8856669250726696	2.4218826067427406
2019-10-07	app	iOS	181694	Install Optimization	APP INSTALL	2-10	153114	409	64.6880114955539	40.52338368431295
2019-10-08	web	Android	181694	Install Optimization	APP INSTALL	2-10	1	0	0.0	0.0
2019-10-30	app	iOS	196140	Visit Optimization	INAPP	2-10	71350	302	17.700277530606833	10.984599143309879
2019-11-02	app	iOS	196140	Visit Optimization	INAPP	2-10	104604	461	29.93763356927782	18.3959181114689
2019-12-24	app	iOS	196140	Visit Optimization	INAPP	2-10	82816	462	36.84249704569672	22.729544241473672
2020-01-22	app	iOS	196140	Visit Optimization	INAPP	2-10	61912	300	16.51797333695647	10.459969864753873
2019-12-06	app	iOS	196140	Visit Optimization	INAPP	2-10	116115	504	58.19072511112876	35.8072569415907
2019-12-25	app	iOS	196140	Visit Optimization	INAPP	2-10	99096	576	55.807081665277465	34.2824010673674
2019-10-26	app	iOS	196140	Visit Optimization	INAPP	2-10	146082	760	77.31380497857835	47.879774577543024
2019-11-25	web	iOS	196140	Visit Optimization	INAPP	2-10	0	1	0.3700000047683716	0.0
2019-10-12	web	iOS	181694	Install Optimization	APP INSTALL	2-10	4570	53	3.3036410675598304	2.0380516728220623
2019-10-08	web	Mac OS	181694	Install Optimization	APP INSTALL	2-10	6	0	0.0006360020041465759	0.00038200001418590545
2019-10-26	app	iOS	181694	Install Optimization	APP INSTALL	2-10	77498	419	50.53931246889569	30.60197812183164
2019-10-07	web	Windows	181694	Install Optimization	APP INSTALL	2-10	2	0	0.0	0.0
2020-01-23	web	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	2620	17	2.550000101327896	1.2130971311851964
2020-01-23	web	Windows	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	10056	50	7.500000298023224	5.948291118473128
2020-01-14	web	Unknown	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	25	0	0.0	0.0033850634819668586
2020-01-17	web	Unknown	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	39	0	0.0	0.011561093075492072
2020-01-16	app	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	154	0	0.0	0.09231595681522158
2019-12-30	app	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	184	0	0.0	0.05324968509669541
2020-01-22	app	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	737	4	0.6000000238418579	0.4450188500699266
2020-01-22	app	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	1398	11	1.6500000655651093	0.7118677032592692
2020-01-22	web	Windows	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	10474	55	8.250000327825546	6.987438865629576
2020-01-19	web	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	1204	6	1.4399999678134918	0.5378354273146835
2020-01-02	app	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	189	1	0.11999999731779099	0.04164656075859366
2019-12-03	app	iOS	196140	Visit Optimization	INAPP	2-10	116437	581	63.6139419393316	38.48970916565244
2019-11-12	app	iOS	196140	Visit Optimization	INAPP	2-10	187819	710	106.11700715566613	65.4541508419172
2019-11-01	app	iOS	196140	Visit Optimization	INAPP	2-10	121703	500	38.887318172166125	23.938920373902885
2019-11-16	app	iOS	196140	Visit Optimization	INAPP	2-10	223224	910	135.01419547672103	82.66539290780503
2020-01-15	app	iOS	196140	Visit Optimization	INAPP	2-10	49479	265	12.479157621984369	7.873224596949343
2020-01-27	app	iOS	196140	Visit Optimization	INAPP	2-10	65848	380	19.073458711735903	11.800095750315343
2020-01-01	app	iOS	196140	Visit Optimization	INAPP	2-10	125664	644	51.270175097689034	31.5946344201694
2019-11-22	app	iOS	196140	Visit Optimization	INAPP	2-10	240785	1240	201.8361979938829	123.47722833536
2019-12-31	app	iOS	196140	Visit Optimization	INAPP	2-10	54234	396	23.515651588926087	14.71571323867877
2019-11-11	app	iOS	196140	Visit Optimization	INAPP	2-10	257796	965	138.73868342484718	84.78024688205853
2019-10-29	app	iOS	196140	Visit Optimization	INAPP	2-10	111314	487	55.474349899934616	34.33967231355969
2019-11-05	app	iOS	196140	Visit Optimization	INAPP	2-10	144799	611	53.118182766286665	32.65013290712839
2020-01-30	app	iOS	196140	Visit Optimization	INAPP	2-10	74915	422	21.6161776145231	13.439331329168388
2019-11-07	app	iOS	196140	Visit Optimization	INAPP	2-10	110785	544	57.8570274647018	35.00155232677358
2019-11-15	app	iOS	196140	Visit Optimization	INAPP	2-10	169500	676	95.01042942458207	58.10435269114126
2019-12-11	app	iOS	196140	Visit Optimization	INAPP	2-10	123937	549	57.28332490986864	35.10483107540942
2020-01-04	app	iOS	196140	Visit Optimization	INAPP	2-10	35687	202	9.468371836605481	5.923485913966249
2020-01-30	other	Mac OS	196140	Visit Optimization	INAPP	2-10	9	0	0.00022669000178575518	0.0001085887953808165
2020-01-27	other	Mac OS	196140	Visit Optimization	INAPP	2-10	5	0	0.00010280500166118145	6.032710854489806e-05
2019-11-25	app	iOS	196140	Visit Optimization	INAPP	2-10	255629	1140	205.92517170883346	125.86229911249545
2019-11-29	app	iOS	196140	Visit Optimization	INAPP	2-10	203432	1009	201.43966932352168	123.20553729774896
2019-12-08	app	iOS	196140	Visit Optimization	INAPP	2-10	127422	630	61.19604780873099	37.57738220419144
2019-12-04	app	iOS	196140	Visit Optimization	INAPP	2-10	124454	698	67.60031424839049	41.610622532930705
2019-12-21	app	iOS	196140	Visit Optimization	INAPP	2-10	107162	601	51.446329722415655	31.930697816051968
2019-12-09	app	iOS	196140	Visit Optimization	INAPP	2-10	160999	714	83.20145290092007	50.9267881335391
2020-01-03	app	iOS	196140	Visit Optimization	INAPP	2-10	87884	496	30.2346298229983	18.81590645255774
2019-11-30	app	iOS	196140	Visit Optimization	INAPP	2-10	122112	627	109.24931043843551	67.14078445590499
2019-12-02	app	iOS	196140	Visit Optimization	INAPP	2-10	140951	622	111.66135588563978	66.93390400358383
2020-01-17	app	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	466	6	1.399999976158142	0.27471842272401015
2019-12-29	web	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	79	0	0.0	0.016772296669864982
2019-12-29	web	Other	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	25	0	0.0	0.02522870647701284
2020-01-21	web	Windows	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	11380	88	16.080000162124634	7.3506605127001805
2020-01-30	web	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	504	1	0.15000000596046448	0.21047856852305638
2019-12-31	app	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	38	2	0.2199999988079071	0.02462835713052531
2019-12-31	web	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	87	0	0.0	0.02023130102345913
2019-12-31	web	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	153	4	0.47999998927116394	0.03237421827456767
2020-01-18	web	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	596	4	0.9599999785423279	0.29990922537391423
2020-01-16	web	Unknown	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	17	0	0.0	0.007655871671242181
2020-01-20	web	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	1065	11	2.6399999409914017	0.5405247924092549
2020-01-29	web	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	624	4	0.6000000238418579	0.28205148045958195
2019-12-29	web	Windows	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	698	6	0.3999999947845936	0.2368674998615545
2019-12-30	web	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	52	0	0.0	0.012735821885297469
2020-01-30	app	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	499	5	0.7500000298023224	0.2783323287637127
2020-01-19	app	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	1492	8	1.9199999570846558	0.5988750094384303
2019-12-31	app	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	50	0	0.0	0.02148629669504326
2020-01-04	web	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	0	0	0.0	0.0
2020-01-08	web	Windows	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	0	0	0.0	0.0
2020-01-24	app	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	621	4	0.6000000238418579	0.3226715220505093
2020-01-24	web	Mac OS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	893	7	1.0500000417232513	0.48155661020774543
2020-01-03	web	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	8	0	0.0	0.00227071620818983
2020-01-13	web	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	377	1	0.15009091495722532	0.15099931977587466
2019-12-27	app	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	23	2	0.05999999865889549	0.006605671227305986
2020-01-15	app	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	170	0	0.0	0.04856488135870287
2020-01-28	web	Windows	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	6831	29	4.35000017285347	3.7042951114706453
2020-01-17	web	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	862	14	3.1999999582767487	0.3761173330065191
2020-01-17	app	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	290	3	0.7199999839067459	0.2248040678092053
2020-01-26	app	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	633	2	0.30000001192092896	0.22008236609305956
2020-01-26	web	Mac OS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	702	3	0.45000001788139343	0.41147883870314433
2020-01-21	app	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	518	9	1.6200000196695328	0.5733248846257334
2019-12-29	app	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	175	0	0.0	0.04920465068706295
2019-12-30	web	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	291	5	0.5000000074505806	0.106016193736657
2020-01-30	app	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	388	8	1.2000000476837158	0.2023539358649431
2019-12-27	web	Unknown	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	2	0	0.0	0.0002020560958046358
2020-01-19	web	Other	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	373	1	0.23999999463558197	0.42121541662258916
2019-12-31	web	Other	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	44	0	0.0	0.022867777921722773
2020-01-24	web	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	975	5	0.7500000298023224	0.5058957209703242
2020-01-23	app	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	555	2	0.30000001192092896	0.4367151784962983
2020-01-14	app	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	219	5	0.9600000232458115	0.07063454164587166
2020-01-02	web	Unknown	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	35	0	0.0	0.005144779785202372
2020-01-02	web	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	65	2	0.23999999463558197	0.018044790311818458
2020-01-15	web	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	172	2	0.4000000059604645	0.08020831916428599
2020-01-15	web	Mac OS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	228	1	0.20000000298023224	0.09384164031883853
2020-01-21	web	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	3529	31	5.370000094175339	1.836121798390515
2020-01-22	web	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	2474	17	2.550000101327896	1.1980054300725234
2020-01-16	web	Mac OS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	289	0	0.0	0.15800859610690188
2019-12-31	web	Unknown	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	3	1	0.11999999731779099	5.463485581760653e-05
2020-01-09	web	Windows	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	0	0	0.0	0.0
2019-12-28	app	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	5	0	0.0	0.0012884767655452142
2019-12-30	web	Windows	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	1151	6	0.6000000089406967	0.6139110121363284
2020-01-24	web	Unknown	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	88	0	0.0	0.031647358444904475
2020-01-14	web	Mac OS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	372	0	0.0	0.11633741148504556
2020-01-20	web	Unknown	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	121	0	0.0	0.06202473614245187
2020-01-23	app	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	895	11	1.6500000655651093	0.4613461384078897
2020-01-14	app	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	153	1	0.20000000298023224	0.07378660259886495
2020-01-14	web	Windows	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	2009	10	1.650000050663948	0.9427104568556598
2020-01-29	app	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	642	6	0.9000000357627869	0.30339510761233085
2020-01-28	web	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	1927	12	1.8000000715255737	0.9667619515080353
2020-01-25	web	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	2317	21	3.150000125169754	1.0679487925376168
2020-01-25	web	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	608	2	0.30000001192092896	0.21571005095314846
2020-01-17	web	Other	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	195	1	0.23999999463558197	0.1959876086031396
2020-01-16	app	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	183	4	0.800000011920929	0.09498388140262291
2020-01-12	web	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	1	0	0.00011279000341892242	9.999999776482582e-06
2020-01-30	web	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	1333	15	2.250000089406967	0.5591219648968798
2020-01-16	web	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	354	1	0.20000000298023224	0.12947679814864346
2020-01-19	app	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	1019	6	1.4399999678134918	0.6099147298375276
2020-01-19	web	Unknown	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	78	0	0.0	0.037596991433382874
2020-01-03	web	Other	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	5	0	0.0	0.0036017515922756147
2019-12-30	web	Other	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	55	1	0.10000000149011612	0.0459009779749336
2020-01-15	web	Unknown	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	23	0	0.0	0.014172676203048778
2020-01-24	app	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	1180	12	1.8000000715255737	0.43877503821069697
2020-01-20	app	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	481	22	5.279999881982803	0.5247174119722864
2020-01-15	web	Windows	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	2547	3	0.6000000089406967	1.3219182349816707
2020-01-27	web	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	2065	12	1.8000000715255737	0.7606041031774049
2020-01-27	web	Unknown	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	115	1	0.15000000596046448	0.03649719803557346
2020-01-27	web	Windows	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	7427	69	10.350000411272049	3.9423329117133843
2020-01-17	web	Mac OS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	344	0	0.0	0.16333173515907162
2020-01-21	web	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	1493	11	1.8300000429153442	0.8722995702874216
2020-01-21	web	Other	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	533	0	0.0	0.7093527357779722
2020-01-16	web	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	618	11	2.2000000327825546	0.32220178828351115
2020-01-01	web	Windows	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	722	8	0.9599999785423279	0.2387584145771037
2020-01-25	app	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	507	3	0.45000001788139343	0.2823066841113654
2020-01-18	app	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	220	14	3.3599999248981476	0.21711974909766246
2019-12-28	web	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	93	2	0.11999999731779099	0.050946342237150916
2020-01-19	web	Windows	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	6659	31	7.439999833703041	4.358070288168805
2020-01-26	web	Unknown	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	93	0	0.0	0.029235799750280535
2019-12-27	app	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	16	0	0.0	0.005400499435745151
2020-01-29	web	Mac OS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	719	2	0.30000001192092896	0.28522736929591863
2020-01-27	web	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	696	5	0.7500000298023224	0.32890760599535246
2019-12-29	web	Mac OS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	97	0	0.0	0.07591704480447577
2020-01-01	web	Mac OS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	80	0	0.0	0.031174979734528915
2020-01-01	web	Other	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	66	1	0.11999999731779099	0.025575805686568063
2020-01-01	web	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	77	2	0.23999999463558197	0.01690309481455143
2020-01-18	web	Windows	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	3150	17	4.0799999088048935	1.8108881606428655
2020-01-10	web	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	1	0	5.712199956178665e-05	4.084200039505959e-05
2019-12-28	web	Other	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	23	4	0.23999999463558197	0.019344413155174562
2019-12-29	web	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	156	0	0.0	0.05597547418960991
2020-01-24	web	Other	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	361	0	0.0	0.3513391503351671
2020-01-07	web	Windows	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	0	0	0.0	0.0
2020-01-29	web	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	1572	17	2.550000101327896	0.690960482930961
2020-01-28	app	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	498	8	1.2000000476837158	0.23025573724044926
2020-01-26	web	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	1957	20	3.0000001192092896	0.8569087514411127
2020-01-15	web	Other	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	160	1	0.20000000298023224	0.16996971846100542
2020-01-16	web	Other	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	160	0	0.0	0.1363094999122053
2020-01-01	app	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	78	0	0.0	0.026490119208918264
2020-01-21	web	Unknown	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	99	0	0.0	0.049934230085297196
2020-01-26	app	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	412	3	0.45000001788139343	0.14365035428106118
2020-01-30	web	Unknown	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	31	0	0.0	0.011008614478141089
2020-01-03	web	Windows	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	34	0	0.0	0.00765273760662411
2020-01-06	web	Windows	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	0	0	0.0	0.0
2020-01-04	web	Windows	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	0	0	0.0	0.0
2020-01-20	app	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	1174	20	4.799999892711639	0.6533977139286608
2020-01-02	web	Windows	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	1631	10	1.1999999731779099	0.6854391642260282
2020-01-15	app	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	161	0	0.0	0.11550219751333199
2020-01-13	web	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	90	1	0.15077176296710967	0.03296317332466124
2020-01-28	web	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	663	5	0.7500000298023224	0.29475125179701384
2020-01-26	web	Other	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	390	1	0.15000000596046448	0.28008810564285147
2019-12-29	app	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	37	2	0.11999999731779099	0.029158907894733042
2020-01-01	web	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	282	4	0.47999998927116394	0.13502293000616541
2020-01-01	web	Unknown	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	25	0	0.0	0.00170200446377286
2020-01-18	app	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	568	2	0.47999998927116394	0.2420623118638092
2019-12-29	web	Unknown	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	8	0	0.0	0.0010320387756242667
2020-01-29	web	Other	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	299	0	0.0	0.3730231573642171
2020-01-29	app	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	535	6	0.9000000357627869	0.311786701705604
2020-01-22	web	Unknown	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	220	1	0.15000000596046448	0.1517936608799621
2019-12-27	web	Mac OS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	18	0	0.0	0.008145275455781658
2020-01-22	web	Mac OS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	1046	2	0.30000001192092896	0.49338263877319777
2020-01-09	web	Other	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	0	0	0.0	0.0
2020-01-05	app	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	0	0	0.0	0.0
2020-01-27	app	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	410	3	0.45000001788139343	0.2562594182994032
2020-01-13	web	Mac OS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	128	0	0.00665965323150158	0.051415387387282324
2020-01-13	web	Windows	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	1372	2	0.35142082574218514	0.5766173469037907
2020-01-20	web	Other	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	526	0	0.0	0.7194369050536555
2020-01-28	web	Mac OS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	517	5	0.7500000298023224	0.1345568609634691
2020-01-25	web	Windows	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	5387	26	3.9000001549720764	2.7307061520768743
2020-01-26	web	Windows	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	5353	23	3.450000137090683	2.3005065766862245
2020-01-25	web	Mac OS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	490	0	0.0	0.1760195455757257
2019-12-30	web	Mac OS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	131	0	0.0	0.0886554483503817
2020-01-30	web	Other	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	225	0	0.0	0.26942499673119374
2020-01-29	web	Unknown	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	67	1	0.15000000596046448	0.023610070935057372
2019-12-31	web	Mac OS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	51	0	0.0	0.016209347967389497
2020-01-19	web	Mac OS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	1270	9	2.1599999517202377	0.7053629876075809
2020-01-13	web	Other	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	71	0	0.0	0.07246039586759279
2019-12-27	web	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	53	0	0.0	0.026398745040748316
2020-01-02	web	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	358	5	0.5999999865889549	0.12990213035950526
2020-01-13	web	Unknown	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	20	0	0.0	0.007345060413522368
2020-01-25	web	Unknown	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	42	1	0.15000000596046448	0.014476368540629614
2020-01-17	web	Windows	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	3314	19	4.559999898076057	1.7835510261565373
2020-01-26	web	iOS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	535	7	1.0500000417232513	0.20915825585243192
2020-01-21	web	Mac OS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	1476	5	0.9300000071525574	0.7705022046367082
2020-01-18	web	Other	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	199	0	0.0	0.14304757578180102
2020-01-18	web	Mac OS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	357	4	0.9599999785423279	0.15971892596841722
2019-12-28	web	Windows	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	439	4	0.23999999463558197	0.3209638874933113
2020-01-19	web	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	3857	36	8.639999806880951	2.1608789809207876
2020-01-03	web	Mac OS	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	5	0	0.0	0.0006585767055788487
2020-01-18	web	Unknown	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	44	0	0.0	0.009049170812128122
2020-01-20	web	Android	203945	Conversion Optimization	LOWER FUNNEL CUSTOM	0-10	3497	27	6.479999855160713	2.2309474321192395
